Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;218;229.145897023;21429.597577253015;3621.0;Clone(3835,748,[{4883:3835}],MaxDepth(3));-162.44269795669703;-162.2058106409453;NaN
0;219;30.639194043000003;21460.236771296015;3626.0;Split(4877,753,3423,[C(301),C(-301)],MaxDepth(3));-162.41630925913003;-162.18116004626444;NaN
0;220;35.841053781;21496.077825077016;3628.0;Clone(4136,738,[{4893:4137}],MaxDepth(3));-162.3637761803015;-162.12316148572867;NaN
0;221;29.621664924;21525.699490001018;3631.0;Split(2653,1485,1806,[C(719),C(-719)],MaxDepth(3));-162.29801331355043;-162.05722435633703;NaN
0;222;35.027898241;21560.72738824202;3658.0;Split(3045,815,2954,[C(386),C(-386)],MaxDepth(3));-161.7101490992294;-161.44699230027402;NaN
0;223;317.035043178;21877.76243142002;3662.0;Split(4950,805,3687,[C(385),C(-385)],MaxDepth(3));-161.66160089921175;-161.39708290283414;NaN
0;224;29.822854124000003;21907.585285544017;3667.0;Split(4935,817,3603,[C(413),C(-413)],MaxDepth(3));-161.63330964924242;-161.3652710110654;NaN
0;225;35.496494606;21943.081780150016;3679.0;Split(4964,803,4952,[C(357),C(-357)],MaxDepth(3));-161.54987361431796;-161.27661470763627;NaN
0;226;72.937221613;22016.019001763016;3681.0;Clone(3313,578,[{4210:3315}],MaxDepth(3));-161.50651858647961;-161.23439717310686;NaN
0;227;31.548542195000003;22047.567543958015;3690.0;Split(2952,835,2768,[C(249),C(-249)],MaxDepth(3));-161.3127043296229;-161.04010043118788;NaN
0;228;58.234387683;22105.801931641014;3692.0;Clone(3919,812,[{4942:3919}],MaxDepth(3));-161.26967884914168;-160.99831998903278;NaN
0;229;34.205791028;22140.007722669012;3713.0;Split(3081,1263,3026,[C(686),C(-686)],MaxDepth(3));-160.81918797729762;-160.5385337569111;NaN
0;230;837.073807458;22977.081530127012;3715.0;Clone(3233,594,[{4202:3235}],MaxDepth(3));-160.77683050372175;-160.49865021017055;NaN
0;231;161.24320027800002;23138.324730405013;3717.0;Clone(3501,210,[{4291:3503}],MaxDepth(3));-160.7345897496791;-160.455847202869;NaN
0;232;35.832218343;23174.156948748012;3720.0;Split(2460,529,936,[C(73),C(-73)],MaxDepth(3));-160.67238237509054;-160.39527189663303;NaN
0;233;29.680862979;23203.83781172701;3723.0;Split(2787,693,2354,[C(221),C(-221)],MaxDepth(3));-160.61061341046076;-160.32882792280984;NaN
0;234;27.432882664;23231.270694391013;3726.0;Split(2546,185,1452,[C(71),C(-71)],MaxDepth(3));-160.5489832443486;-160.27469633873042;NaN
0;235;29.817836759000002;23261.088531150013;3729.0;Split(2563,117,1554,[C(201),C(-201)],MaxDepth(3));-160.48956626557185;-160.21898908813037;NaN
